threshold,TN,FP,FN,TP,accuracy,precision,recall,specificity,f1,f0_5,balanced_accuracy,predicted_positive_rate,false_positive_rate,false_negative_rate
0,0,18691,0,5309,0.22120833333333334,0.22120833333333334,1,0,0.36227779862840764,0.262020156155919,0.5,1,1,0
3.9894040428522519e-06,103,18588,11,5298,0.22504166666666667,0.22180356694297915,0.99792804671312862,0.0055106735862179655,0.36293885939373183,0.26265951434265711,0.50171936014967333,0.99524999999999997,0.99448932641378207,0.0020719532868713505
4.427106418621721e-06,104,18587,11,5298,0.22508333333333333,0.22181285325518107,0.99792804671312862,0.0055641752715210532,0.3629512913612386,0.26266993227498536,0.5017461109923248,0.99520833333333336,0.99443582472847891,0.0020719532868713505
5.4584037405647267e-06,105,18586,11,5298,0.22512499999999999,0.22182214034500083,0.99792804671312862,0.0056176769568241402,0.36296372418045419,0.26268035103376469,0.50177286183497638,0.99516666666666664,0.99438232304317586,0.0020719532868713505
5.6200225004682884e-06,106,18585,11,5298,0.22516666666666665,0.22183142821253612,0.99792804671312862,0.0056711786421272271,0.36297615785146614,0.26269077061909341,0.50179961267762796,0.99512500000000004,0.99432882135787282,0.0020719532868713505
5.9972600331553267e-06,107,18584,11,5298,0.22520833333333334,0.22184071685788459,0.99792804671312862,0.005724680327430314,0.36298859237436198,0.26270119103106992,0.50182636352027943,0.99508333333333332,0.99427531967256966,0.0020719532868713505
6.2992591945224025e-06,107,18584,12,5297,0.22516666666666665,0.22180813198777272,0.99773968732341312,0.005724680327430314,0.36293251113394998,0.26266202532900934,0.50173218382542173,0.99504166666666671,0.99427531967256966,0.002260312676586928
7.4655992148216279e-06,108,18583,12,5297,0.22520833333333334,0.22181742043551089,0.99773968732341312,0.0057781820127334009,0.36294494501353247,0.26267244542740681,0.50175893466807331,0.995,0.99422181798726661,0.002260312676586928
7.7970699650107951e-06,108,18583,13,5296,0.22516666666666665,0.22178483186063069,0.9975513279336975,0.0057781820127334009,0.36288885843497326,0.26263327547731219,0.5016647549732155,0.99495833333333328,0.99422181798726661,0.002448672066302505
8.2527746822560795e-06,109,18582,13,5296,0.22520833333333334,0.22179412011056202,0.9975513279336975,0.0058316836980364878,0.36290129167094942,0.26264369526189979,0.50169150581586697,0.99491666666666667,0.99416831630196356,0.002448672066302505
1.0204530104950637e-05,109,18582,14,5295,0.22516666666666665,0.22176152783012942,0.99736296854398188,0.0058316836980364878,0.36284519975330637,0.26260452106291599,0.50159732612100916,0.99487499999999995,0.99416831630196356,0.0026370314560180824
0.0066233361889878111,110,18581,14,5295,0.22520833333333334,0.2217708158820573,0.99736296854398188,0.0058851853833395756,0.36285763234538287,0.26261494053346296,0.50162407696366074,0.99483333333333335,0.9941148146166604,0.0026370314560180824
0.0068656902137858638,111,18580,14,5295,0.22525000000000001,0.22178010471204188,0.99736296854398188,0.0059386870686426625,0.36287006578947367,0.26262536083087817,0.50165082780631232,0.99479166666666663,0.99406131293135735,0.0026370314560180824
0.0069658935840375804,112,18579,14,5295,0.22529166666666667,0.22178939432018094,0.99736296854398188,0.0059921887539457494,0.3628825000856663,0.26263578195526016,0.50167757864896378,0.99475000000000002,0.9940078112460542,0.0026370314560180824
