implementation,fit_seconds,prediction_seconds,milliseconds_per_sample
custom,0.00792800000635907,0.6962694999529049,0.11604491665881748
sklearn,0.001236799987964332,0.45998620003229007,0.07666436667204835
weka,0.3348376,3.4722197,0.5787032833333333
