fold,k,accuracy,precision,recall,f1,balanced_accuracy
1,1,0.7327083333333333,0.39759036144578314,0.403954802259887,0.4007473143390939,0.6150325108142667
1,3,0.7727083333333333,0.48133848133848134,0.352165725047081,0.4067427949972811,0.6221770305278209
1,5,0.7877083333333333,0.5311143270622286,0.3455743879472693,0.41871078151739877,0.6294485101855126
1,7,0.798125,0.5729984301412873,0.3436911487758945,0.429664508534432,0.6354624818250794
1,9,0.8025,0.5953177257525084,0.3352165725047081,0.42891566265060244,0.635238034780979
1,11,0.803125,0.6010362694300518,0.327683615819209,0.42413162705667273,0.63294293150511
1,13,0.8083333333333333,0.6236933797909407,0.3370998116760829,0.43765281173594134,0.6396574499792934
1,15,0.8091666666666667,0.627177700348432,0.3389830508474576,0.4400977995110024,0.6408665923044137
1,17,0.8122916666666666,0.64,0.3465160075329567,0.44960293219303604,0.6455694002351782
1,19,0.8116666666666666,0.6376306620209059,0.3446327683615819,0.4474327628361858,0.6444940192797743
1,21,0.8127083333333334,0.6422338568935427,0.3465160075329567,0.45015290519877676,0.645836922974611
1,23,0.8125,0.6436170212765957,0.3418079096045198,0.44649446494464945,0.6440179194892584
1,25,0.8122916666666666,0.644524236983842,0.3380414312617702,0.4434836318715256,0.6425359644270328
1,27,0.8135416666666667,0.653211009174312,0.3352165725047081,0.44306160547604234,0.6423273873759495
1,29,0.8141666666666667,0.65625,0.3361581920903955,0.44458281444582815,0.6430657199082261
1,31,0.8139583333333333,0.6579439252336449,0.3314500941619586,0.44082654978083907,0.6412467164228733
2,1,0.7335416666666666,0.39617224880382773,0.3898305084745763,0.39297579496915047,0.6105118299462234
2,3,0.7802083333333333,0.5044699872286079,0.371939736346516,0.4281842818428184,0.6340704567232848
2,5,0.795625,0.5576102418207681,0.3691148775894539,0.4441926345609065,0.6429576528129185
2,7,0.808125,0.6069802731411229,0.3766478342749529,0.46484601975595585,0.6536797223809222
2,9,0.8127083333333334,0.6271450858034321,0.3785310734463277,0.4721080446271286,0.657296569360938
2,11,0.8154166666666667,0.6419354838709678,0.3747645951035782,0.47324613555291317,0.6576872734747425
2,13,0.8164583333333333,0.6481178396072013,0.3728813559322034,0.4734010759115362,0.6576819834770702
2,15,0.8170833333333334,0.6533333333333333,0.3691148775894539,0.4717208182912154,0.6567350738937103
2,17,0.81875,0.6621621621621622,0.3691148775894539,0.4740024183796856,0.6578051648514418
2,19,0.8214583333333333,0.6746166950596252,0.3728813559322034,0.4802910855063675,0.6608922563502644
2,21,0.8191666666666667,0.6689895470383276,0.3615819209039548,0.46943765281173594,0.6553763002058565
2,23,0.81875,0.6696113074204947,0.3568738229755179,0.4656019656019656,0.6534235353507873
2,25,0.8185416666666666,0.6678383128295254,0.3578154425612053,0.46597179644389947,0.6536268224041981
2,27,0.820625,0.6772486772486772,0.3615819209039548,0.4714548802946593,0.6563126297938715
2,29,0.8204166666666667,0.676678445229682,0.3606403013182674,0.4705159705159705,0.6558418200010278
2,31,0.82,0.6761565836298933,0.3578154425612053,0.46798029556650245,0.6545631519922132
3,1,0.7222916666666667,0.37670609645131936,0.3898305084745763,0.38315594632114763,0.6032887159815364
3,3,0.77875,0.5,0.3851224105461394,0.4351063829787234,0.6378528050590515
3,5,0.794375,0.5539568345323741,0.3625235404896422,0.43824701195219123,0.639795745632729
3,7,0.7979166666666667,0.5714285714285714,0.3465160075329567,0.43141852286049237,0.6363398657247448
3,9,0.8075,0.6105769230769231,0.3587570621468927,0.45195729537366547,0.6468745182323549
3,11,0.8114583333333333,0.6323777403035413,0.3531073446327684,0.45317220543806647,0.6473936937182033
3,13,0.81125,0.6354166666666666,0.3446327683615819,0.4468864468864469,0.6442264965403415
3,15,0.8122916666666666,0.6409807355516638,0.3446327683615819,0.4482547458665034,0.6448953033889236
3,17,0.8120833333333334,0.6408450704225352,0.3427495291902072,0.4466257668711656,0.6440874451729527
3,19,0.81375,0.647887323943662,0.3465160075329567,0.45153374233128835,0.6465057298231932
3,21,0.8139583333333333,0.6506238859180036,0.3436911487758945,0.44978434996919286,0.6456283459235278
3,23,0.8141666666666667,0.6528776978417267,0.3418079096045198,0.44870210135970334,0.6450880104469897
3,25,0.814375,0.6563071297989032,0.3380414312617702,0.44623990055935364,0.6438735781241971
3,27,0.81375,0.6567164179104478,0.3314500941619586,0.4405506883604506,0.6411129550531569
3,29,0.8129166666666666,0.6496350364963503,0.3352165725047081,0.4422360248447205,0.6419261032668003
3,31,0.814375,0.6563071297989032,0.3380414312617702,0.44623990055935364,0.6438735781241971
4,1,0.7266666666666667,0.3800383877159309,0.3728813559322034,0.376425855513308,0.6000308331292905
4,3,0.7766666666666666,0.4936061381074169,0.3634651600753296,0.41865509761388287,0.6287630776299602
