implementation,fit_seconds,prediction_seconds,milliseconds_per_sample
custom,0.00715909997234121,0.686141400015913,0.11435690000265215
sklearn,0.0013115000328980386,0.45932249998440966,0.07655374999740161
weka,0.3608734,3.4235869,0.5705978166666668
