version,measurement_summary,trial_count,selected_k,batch_size,selection_group_size,pilot_size,density_limit,prediction_seconds_summary,prediction_seconds_min,prediction_seconds_max,milliseconds_per_sample,speedup_vs_original,speedup_vs_v1,speedup_vs_v2_fresh,speedup_vs_v3_fresh,speedup_vs_v4_fresh,speedup_vs_v5_fresh,prediction_agreement,probability_agreement,ambiguous_rows
baseline_original,historical_single_or_unspecified,,19,256,,,,33.28119000000879,33.28119000000879,33.28119000000879,5.546865000001465,1.0,,,,,,1.0,1.0,
optimized_v1,historical_five_run_warm_median,5,19,256,,,,1.980312600004254,1.9505786999943666,2.049102400022093,0.330052100000709,16.806028502741082,1.0,,,,,1.0,1.0,38
optimized_v2_single_thread,historical_five_run_warm_median,5,19,128,1,,,1.505170299991732,1.496461500006262,1.512120200000936,0.250861716665289,22.111245485106640,1.315673449054324,,,,,1.0,1.0,38
optimized_v3_single_thread,fresh_interleaved_five_run_warm_median,5,19,128,1,,,1.4190630999801215,1.414696499996353,1.4260591000202112,0.23651051666335357,23.45293172690841,1.3955070778966732,1.069848409133467,,,,1.0,1.0,38
optimized_v4_threshold_prefilter,fresh_interleaved_nine_run_warm_median,9,19,128,1,1024,0.5,0.8129578000225592,0.808412699989276,0.8259060999844223,0.13549296667042654,,,,1.735675701687845,,,1.0,1.0,38
optimized_v5_single_thread,fresh_interleaved_nine_run_warm_median,9,19,64,1,1024,0.5,0.7541230999922846,0.7300699999905191,0.7637067000032403,0.12568718333204743,44.1323041295901,2.6259805594398506,1.9959212229503795,1.8817393340618263,1.102610568501158,,1.0,1.0,38
optimized_v5_1_single_thread,fresh_interleaved_nine_run_warm_median,9,19,64,1,1024,0.5,1.2781049000041094,0.6776089000049978,1.3490330000058748,0.21301748333401824,26.039482361660443,1.5494131976161634,1.177657874550745,1.1102868786244062,0.636065005321508,1.0348466702647379,1.0,1.0,38
