threshold,TP,TN,FP,FN,accuracy,precision,recall,specificity,f1,balanced_accuracy,predicted_positive_rate,false_positive_rate,false_negative_rate
0,5309,0,18691,0,0.22120833333333334,0.22120833333333334,1,0,0.36227779862840764,0.5,1,1,0
4.6835707497482769e-07,5184,1335,17356,125,0.27162500000000001,0.22999112688553683,0.97645507628555284,0.071424749879621205,0.37229343962081224,0.52393991308258703,0.93916666666666671,0.92857525012037878,0.023544923714447163
6.5801153405741476e-07,5184,1336,17355,125,0.27166666666666667,0.23000133102622122,0.97645507628555284,0.071478251564924294,0.37230680838839414,0.52396666392523861,0.93912499999999999,0.92852174843507573,0.023544923714447163
8.9632332237456337e-07,5184,1337,17354,125,0.27170833333333333,0.23001153607241104,0.97645507628555284,0.071531753250227384,0.3723201781161346,0.52399341476789008,0.93908333333333338,0.92846824674977257,0.023544923714447163
9.121619304867802e-07,5183,1337,17354,126,0.27166666666666667,0.22997737054621289,0.97626671689583722,0.071531753250227384,0.37226172520290168,0.52389923507303227,0.93904166666666666,0.92846824674977257,0.023733283104162783
1.0344788605609787e-06,5183,1338,17353,126,0.27170833333333333,0.22998757543485979,0.97626671689583722,0.071585254935530473,0.37227509427186212,0.52392598591568385,0.93899999999999995,0.92841474506446953,0.023733283104162783
1.2131731715569791e-06,5183,1339,17352,126,0.27174999999999999,0.22999778122919903,0.97626671689583722,0.071638756620833563,0.37228846430110618,0.52395273675833542,0.93895833333333334,0.92836124337916648,0.023733283104162783
1.2525766411739854e-06,5183,1340,17351,126,0.27179166666666665,0.2300079879293512,0.97626671689583722,0.071692258306136639,0.37230183529073735,0.52397948760098689,0.93891666666666662,0.92830774169386332,0.023733283104162783
1.3083050679026575e-06,5182,1340,17351,127,0.27174999999999999,0.22997381618071272,0.97607835750612171,0.071692258306136639,0.37224337332088214,0.52388530790612919,0.93887500000000002,0.92830774169386332,0.023921642493878292
1.3443783455437584e-06,5182,1341,17350,127,0.27179166666666665,0.22998402272323806,0.97607835750612171,0.071745759991439728,0.37225674365144928,0.52391205874878066,0.9388333333333333,0.92825424000856027,0.023921642493878292
1.3864951217991192e-06,5182,1342,17349,127,0.27183333333333332,0.22999423017176335,0.97607835750612171,0.071799261676742818,0.37227011494252876,0.52393880959143224,0.93879166666666669,0.92820073832325722,0.023921642493878292
