stage,accepted,baseline_configuration_id,candidate_family_winner_id,retained_configuration_id,next_threshold,condition_ap,condition_roc_auc,condition_f1,average_precision_mean_delta,average_precision_median_delta,average_precision_wins,average_precision_raw_deltas,roc_auc_mean_delta,roc_auc_median_delta,roc_auc_wins,roc_auc_raw_deltas,f1_mean_delta,f1_median_delta,f1_wins,f1_raw_deltas,recall_mean_delta,recall_median_delta,recall_wins,recall_raw_deltas,precision_mean_delta,precision_median_delta,precision_wins,precision_raw_deltas,balanced_accuracy_mean_delta,balanced_accuracy_median_delta,balanced_accuracy_wins,balanced_accuracy_raw_deltas
1,True,k25__money-standard__pay-raw__blocks-none__payw-1,k101__money-standard__pay-raw__blocks-none__payw-1,k101__money-standard__pay-raw__blocks-none__payw-1,0.24956291898337052,True,True,True,0.009222208624934114,0.0077631936596562756,5,"[0.0036711220013843082, 0.009250208920027259, 0.007763193659656276, 0.0021406938825318522, 0.023285824661070875]",0.0070213704173977872,0.0065200480835598817,5,"[0.0071835649344695884, 0.011093628928327104, 0.006520048083559882, 0.005589134445542765, 0.004720475695089599]",0.0089473416024758445,0.0088155095589940169,5,"[0.011213148747084678, 0.00632394801487024, 0.008815509558994017, 0.01234654171784999, 0.006037559973580298]",-0.00018992138674565063,-0.0028248587570621764,2,"[0.007532956685499026, -0.0028248587570621764, -0.025423728813559365, 0.02824858757062143, -0.008482563619227168]",0.017815505883963377,0.01430935522251553,4,"[0.014114961388239922, 0.01430935522251553, 0.04066132462778849, -0.001245219852751056, 0.02123710803402401]",0.0049875992996210924,0.0032692185615438296,5,"[0.007244273955376634, 0.0032692185615438296, 0.0020018862620271305, 0.009710168584668777, 0.002712449134489092]"
2,True,k101__money-standard__pay-raw__blocks-none__payw-1,k101__money-signed_log__pay-raw__blocks-none__payw-1,k101__money-signed_log__pay-raw__blocks-none__payw-1,0.26128413361868652,True,True,True,0.0030055110851464175,0.0015491149129920334,3,"[-0.0016704622539814862, -0.00028666975305580156, 0.013712880907860936, 0.0015491149129920334, 0.0017226916119164049]",0.011627254525880981,0.01244568106659838,5,"[0.013855637474948224, 0.0118459421687378, 0.019636219455301474, 0.0003527924638190294, 0.01244568106659838]",0.014258215986400914,0.014777810514489675,5,"[0.021524920098434652, 0.01156338270392121, 0.014777810514489675, 0.007561448347773059, 0.015863518267385968]",0.036917700140754836,0.032987747408105617,5,"[0.043314500941619594, 0.032015065913371, 0.064030131826742, 0.012241054613935987, 0.03298774740810562]",-0.0059089263667512328,-1.4823159704691058e-05,2,"[0.002195027484980905, -0.006211610400406409, -0.029009168884945313, 0.0034959431263193452, -1.4823159704691058e-05]",0.011931538495751015,0.011947203471370238,5,"[0.016574318421585632, 0.009988271319446351, 0.01569617880796703, 0.0054517204583858225, 0.011947203471370238]"
3,True,k101__money-signed_log__pay-raw__blocks-none__payw-1,k101__money-signed_log__pay-structured__blocks-none__payw-1,k101__money-signed_log__pay-structured__blocks-none__payw-1,0.30215816564362014,True,True,True,0.0067029062903717022,0.0061896688469457728,5,"[0.012430130337983458, 0.005859379577810242, 0.007137448403526925, 0.006189668846945773, 0.0018979042855921113]",0.0019995222325006612,0.0029509370349209973,4,"[0.0038098059427329467, 0.0029509370349209973, 0.0030291534290773914, 0.0003657655533487736, -0.00015805079757680307]",-0.0017837154560395251,-0.0023305478219232123,1,"[-0.003491604003644899, 0.004569950791772359, -0.005951898970409375, -0.0023305478219232123, -0.0017144772759924987]",-0.018277182276607185,-0.01883239171374762,1,"[-0.02354048964218458, 0.01412429378531077, -0.011299435028248594, -0.01883239171374762, -0.0518378887841659]",0.014677545839918937,0.012588123274803631,3,"[0.014179980826672045, -0.002968889384478146, -0.0018221816089619702, 0.012588123274803631, 0.05141069609155913]",-0.0028796179648456375,-0.004680892226121669,1,"[-0.004680892226121669, 0.00425315812861049, -0.004713387926109314, -0.003129411480201738, -0.006127556320405958]"
4,True,k101__money-signed_log__pay-structured__blocks-none__payw-1,k101__money-signed_log__pay-structured__blocks-AB__payw-1,k101__money-signed_log__pay-structured__blocks-AB__payw-1,0.28015012416901564,True,True,True,0.010080027776332434,0.010879888862736276,5,"[0.011692525757084793, 0.012217844428709101, 0.010879888862736276, 0.007215995836408973, 0.008393883996723028]",0.0050985141023283994,0.0058066541117389736,5,"[0.008209698530589615, 0.001329174891353646, 0.005931598818667894, 0.005806654111738974, 0.00421544415929187]",0.0031906611868793176,9.201869293984366e-06,3,"[9.201869293984366e-06, -0.0011079058489066318, -0.0008856850196005128, 0.0021798537286555897, 0.01575784120495416]",0.0077321078966472775,0.0047080979284369606,3,"[-0.00941619585687381, -0.025423728813559365, 0.004708097928436961, 0.011299435028248594, 0.05749293119698401]",-0.0026113253394191237,-0.0051385310148497343,2,"[0.009219308824752526, 0.018996563936579447, -0.005138531014849734, -0.006285571330289619, -0.02984839711328824]",0.0023954444586860245,8.0105679039266242e-05,3,"[-0.0010965409460934605, -0.003749852635779094, 8.010567903926624e-05, 0.00230568327121361, 0.014437826925049801]"
5,False,k101__money-signed_log__pay-structured__blocks-AB__payw-1,k101__money-signed_log__pay-structured__blocks-AB__payw-2,k101__money-signed_log__pay-structured__blocks-AB__payw-1,0.28015012416901564,True,False,True,0.0041277910292825352,0.0049390961156270397,5,"[0.006407120845326575, 0.00493909611562704, 0.00164277842766547, 0.005833718015578415, 0.0018162417422151744]",-0.0010506302076582319,-0.0016138271470589327,1,"[-0.0001153723301883236, -0.0016138271470589327, -0.0017480923260775327, 0.0011108995112042441, -0.0028867587461706146]",-0.00078377184437636858,0.00031914995270077018,3,"[0.005805729837944584, 0.0023099632659500102, 0.0003191499527007702, -0.0016563847230725015, -0.010697317555404706]",0.00019063137323813706,-0.00094161958568739212,2,"[0.01789077212806034, -0.016007532956685444, -0.0009416195856873921, -0.012241054613935987, 0.012252591894439169]",-0.0013745576099547185,0.0012631138786718399,3,"[-0.00589559465919387, 0.01983002352398444, 0.0012631138786718399, 0.008223011854973095, -0.0302933426482091]",-0.00043915739804618604,-0.00078065251365577737,2,"[0.005200067711970235, -0.0007806525136557774, 6.423568602198504e-05, -0.0021076862154751907, -0.0045717516590921825]"
