implementation_a,implementation_b,rows,label_disagreements,label_agreement,max_abs_score_difference,mean_abs_score_difference,score_tolerance,scores_over_tolerance
final_python,final_sklearn,6000,0,1,0.0090834972484374887,1.048392099521347e-05,9.9999999999999998e-13,10
final_python,final_cpp,6000,0,1,7.7715611723760958e-16,5.949667841731454e-17,9.9999999999999998e-13,0
final_python,final_weka,6000,1,0.99983333333333335,0.32717972755992286,0.00053019879096445253,9.9999999999999998e-13,6000
final_sklearn,final_cpp,6000,0,1,0.0090834972484374332,1.0483920995226374e-05,9.9999999999999998e-13,10
final_sklearn,final_weka,6000,1,0.99983333333333335,0.32717972755992286,0.00053124879629244074,9.9999999999999998e-13,6000
final_cpp,final_weka,6000,1,0.99983333333333335,0.32717972755992286,0.00053019879096445448,9.9999999999999998e-13,6000
