stage,outer_fold,inner_fold,configuration_id,row_type,validation_rows,average_precision,roc_auc,oof_average_precision,oof_roc_auc,selected_threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,TP,TN,FP,FN,predicted_positive_rate,k,selected
1,1,1,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.47404925979167112,0.7262743604392814,,,,,,,,,,,,,,,,
1,1,1,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.48253636633498292,0.73063322405709563,,,,,,,,,,,,,,,,
1,1,1,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.48495705556788471,0.73121439170316771,,,,,,,,,,,,,,,,
1,1,1,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.49039248445250028,0.73481928895629856,,,,,,,,,,,,,,,,
1,1,1,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.49450357562469682,0.73707056082288192,,,,,,,,,,,,,,,,
1,1,1,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.4986298336924041,0.7394548855773504,,,,,,,,,,,,,,,,
1,1,1,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.49981576848427611,0.74226918795512864,,,,,,,,,,,,,,,,
1,1,1,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.49823988699303712,0.74332461333895572,,,,,,,,,,,,,,,,
1,1,2,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50001135194694135,0.74405980493511426,,,,,,,,,,,,,,,,
1,1,2,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51524172300102045,0.74677761208749327,,,,,,,,,,,,,,,,
1,1,2,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52388850535889997,0.75296251677684956,,,,,,,,,,,,,,,,
1,1,2,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52352175154840541,0.75476942883895115,,,,,,,,,,,,,,,,
1,1,2,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52326492152618187,0.75382615612899107,,,,,,,,,,,,,,,,
1,1,2,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52446931472145297,0.75859331782608286,,,,,,,,,,,,,,,,
1,1,2,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52265656919186476,0.76060979881383117,,,,,,,,,,,,,,,,
1,1,2,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52376615665704196,0.76275068921112532,,,,,,,,,,,,,,,,
1,1,3,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.49830089914221171,0.7353164085897268,,,,,,,,,,,,,,,,
1,1,3,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51365559629924207,0.74595227378247797,,,,,,,,,,,,,,,,
1,1,3,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52171617762627931,0.75221140453161595,,,,,,,,,,,,,,,,
1,1,3,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52854351894849605,0.75575142388295624,,,,,,,,,,,,,,,,
1,1,3,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52931333554387605,0.75783350050150444,,,,,,,,,,,,,,,,
1,1,3,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.53295201260556446,0.76253452938320265,,,,,,,,,,,,,,,,
1,1,3,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.53085686518173125,0.76228104809127006,,,,,,,,,,,,,,,,
1,1,3,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52864659791226565,0.76218684321515784,,,,,,,,,,,,,,,,
