stage,role,outer_folds,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,balanced_accuracy_mean,balanced_accuracy_std
1,baseline,5,0.50933383320733083,0.013022452002020349,0.7469197782605993,0.0048439704531748843,0.51332987682797726,0.011832800800602726,0.53267446586828682,0.020660484121156075,0.49569253857391671,0.010731705594439858,0.68932127129256826,0.0083951928013931351
1,candidate,5,0.518556041832265,0.016610714752878515,0.75394114867799711,0.0062441467728238673,0.52227721843045316,0.012092877098211245,0.53248454448154114,0.02365131079913186,0.51350804445788012,0.020954732317472233,0.69430887059218949,0.0080156033717123168
2,baseline,5,0.51939682492869754,0.013700638595232861,0.75695624435106501,0.0042927485986639794,0.52350089978750358,0.011956519983583313,0.52909808640890599,0.011424096034348671,0.51825486726127334,0.017579982824969326,0.69459561033463013,0.007331446181039993
2,candidate,5,0.52240233601384412,0.017072245650340587,0.7685834988769461,0.0068914478085850168,0.53775911577390445,0.013315231202400014,0.56601578654966089,0.021932526124721911,0.51234594089452212,0.0072172277476385254,0.70652714883038126,0.0098525988735030032
3,baseline,5,0.52240233601384412,0.017072245650340535,0.7685834988769461,0.0068914478085850099,0.53775911577390456,0.013315231202400028,0.56601578654966089,0.021932526124721855,0.51234594089452223,0.0072172277476385332,0.70652714883038126,0.0098525988735030032
3,candidate,5,0.52910524230421585,0.016687793439424194,0.77058302110944676,0.0080195468006211013,0.53597540031786506,0.013405464534515908,0.54773860427305365,0.04052999289714096,0.52702348673444122,0.019643511142297461,0.70364753086553566,0.011487756971376497
4,baseline,5,0.52910524230421585,0.016687793439424194,0.77058302110944676,0.0080195468006211013,0.53597540031786506,0.013405464534515908,0.54773860427305365,0.04052999289714096,0.52702348673444122,0.019643511142297461,0.70364753086553566,0.011487756971376497
4,candidate,5,0.53918527008054817,0.017965321244193758,0.77568153521177519,0.0075498089017082826,0.53916606150474433,0.01008804188582264,0.55547071216970101,0.021158008720995727,0.524412161395022,0.015156640536932602,0.70604297532422167,0.0073689978858487073
5,baseline,5,0.53918527008054817,0.017965321244193758,0.77568153521177519,0.0075498089017082826,0.53916606150474433,0.01008804188582264,0.55547071216970101,0.021158008720995727,0.524412161395022,0.015156640536932602,0.70604297532422167,0.0073689978858487073
5,candidate,5,0.54331306110983069,0.016591444745945195,0.77463090500411691,0.007049693611841731,0.53838228966036794,0.013077767235640419,0.55566134354293917,0.022934735649640822,0.52303760378506725,0.021610016663407769,0.70560381792617544,0.0087621078876414082
